"chr","bin_id","assayed_designs","edited_designs","bin_start","bin_end","chr_len","chr_gap","genome_start","genome_end","genome_mid","chr_label","chromosome_label_angle","chromosome_label_hjust","bin_width_bp","genome_bin_start","genome_bin_end","bin_padding_bp","bin_plot_start","bin_plot_end","design_success_rate","design_success_lower","design_success_upper","assayed_count_scaled"
"chrIV",14,2,0,1300001,1400000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2810022,2910022,5000,2815022,2905022,0,0,0.657619772493347,0.166666666666667
"chrIV",15,2,1,1400001,1500000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2910022,3010022,5000,2915022,3005022,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrIV",16,7,3,1500001,1531933,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,31933,3010022,3041955,2554.64,3012576.64,3039400.36,0.428571428571429,0.15821985525147,0.749541635472343,0.583333333333333
"chrV",1,5,2,1,100000,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,100000,3091955,3191955,5000,3096955,3186955,0.4,0.117620774232648,0.769275718723987,0.416666666666667
"chrV",2,1,0,100001,200000,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,100000,3191955,3291955,5000,3196955,3286955,0,0,0.793450685622763,0.0833333333333333
"chrV",3,4,3,200001,300000,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,100000,3291955,3391955,5000,3296955,3386955,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrV",4,3,3,300001,400000,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,100000,3391955,3491955,5000,3396955,3486955,1,0.438502968244955,1,0.25
"chrV",5,6,4,400001,500000,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,100000,3491955,3591955,5000,3496955,3586955,0.666666666666667,0.299993315138392,0.90322858889422,0.5
"chrV",6,5,3,500001,576874,576874,50000,3091955,3668829,3380392,"V",-4.54667840749275,0,76874,3591955,3668829,5000,3596955,3663829,0.6,0.230724281276013,0.882379225767352,0.416666666666667
"chrVI",1,9,4,1,100000,270161,50000,3718829,3988990,3853909.5,"VI",-17.7905586417437,0,100000,3718829,3818829,5000,3723829,3813829,0.444444444444444,0.188778521097665,0.733348706504507,0.75
"chrVI",2,6,5,100001,200000,270161,50000,3718829,3988990,3853909.5,"VI",-17.7905586417437,0,100000,3818829,3918829,5000,3823829,3913829,0.833333333333333,0.43649717781353,0.969946630251693,0.5
"chrVI",3,2,1,200001,270161,270161,50000,3718829,3988990,3853909.5,"VI",-17.7905586417437,0,70161,3918829,3988990,5000,3923829,3983990,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrVII",1,11,4,1,100000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4038990,4138990,5000,4043990,4133990,0.363636363636364,0.151664710953676,0.646198825492151,0.916666666666667
"chrVII",2,6,5,100001,200000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4138990,4238990,5000,4143990,4233990,0.833333333333333,0.43649717781353,0.969946630251693,0.5
"chrVII",3,5,3,200001,300000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4238990,4338990,5000,4243990,4333990,0.6,0.230724281276013,0.882379225767352,0.416666666666667
"chrVII",4,2,0,300001,400000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4338990,4438990,5000,4343990,4433990,0,0,0.657619772493347,0.166666666666667
"chrVII",5,3,1,400001,500000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4438990,4538990,5000,4443990,4533990,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrVII",6,3,2,500001,600000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4538990,4638990,5000,4543990,4633990,0.666666666666667,0.207659600802048,0.938508055279604,0.25
"chrVII",7,6,3,600001,700000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4638990,4738990,5000,4643990,4733990,0.5,0.187616306482651,0.812383693517349,0.5
"chrVII",8,5,1,700001,800000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4738990,4838990,5000,4743990,4833990,0.2,0.0362241086324301,0.624465370237475,0.416666666666667
"chrVII",9,2,1,800001,900000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4838990,4938990,5000,4843990,4933990,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrVII",10,5,4,900001,1000000,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,100000,4938990,5038990,5000,4943990,5033990,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrVII",11,5,1,1000001,1090940,1090940,50000,4038990,5129930,4584460,"VII",-38.2234324575417,0,90940,5038990,5129930,5000,5043990,5124930,0.2,0.0362241086324301,0.624465370237475,0.416666666666667
"chrVIII",1,6,2,1,100000,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,100000,5179930,5279930,5000,5184930,5274930,0.333333333333333,0.0967714111057805,0.700006684861608,0.5
"chrVIII",2,3,2,100001,200000,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,100000,5279930,5379930,5000,5284930,5374930,0.666666666666667,0.207659600802048,0.938508055279604,0.25
"chrVIII",3,0,0,200001,300000,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,100000,5379930,5479930,5000,5384930,5474930,NA,NA,NA,0
"chrVIII",4,1,0,300001,400000,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,100000,5479930,5579930,5000,5484930,5574930,0,0,0.793450685622763,0.0833333333333333
"chrVIII",5,1,0,400001,500000,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,100000,5579930,5679930,5000,5584930,5674930,0,0,0.793450685622763,0.0833333333333333
"chrVIII",6,0,0,500001,562643,562643,50000,5179930,5742573,5461251.5,"VIII",-62.7465421977502,0,62643,5679930,5742573,5000,5684930,5737573,NA,NA,NA,0
"chrIX",1,9,7,1,100000,439888,50000,5792573,6232461,6012517,"IX",-78.1649676187209,0,100000,5792573,5892573,5000,5797573,5887573,0.777777777777778,0.452588969106989,0.936774892882153,0.75
"chrIX",2,10,5,100001,200000,439888,50000,5792573,6232461,6012517,"IX",-78.1649676187209,0,100000,5892573,5992573,5000,5897573,5987573,0.5,0.236593090512564,0.763406909487436,0.833333333333333
"chrIX",3,1,1,200001,300000,439888,50000,5792573,6232461,6012517,"IX",-78.1649676187209,0,100000,5992573,6092573,5000,5997573,6087573,1,0.206549314377237,1,0.0833333333333333
"chrIX",4,4,3,300001,400000,439888,50000,5792573,6232461,6012517,"IX",-78.1649676187209,0,100000,6092573,6192573,5000,6097573,6187573,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrIX",5,5,4,400001,439888,439888,50000,5792573,6232461,6012517,"IX",-78.1649676187209,0,39888,6192573,6232461,3191.04,6195764.04,6229269.96,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrX",1,3,1,1,100000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6282461,6382461,5000,6287461,6377461,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrX",2,5,4,100001,200000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6382461,6482461,5000,6387461,6477461,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrX",3,0,0,200001,300000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6482461,6582461,5000,6487461,6577461,NA,NA,NA,0
"chrX",4,5,4,300001,400000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6582461,6682461,5000,6587461,6677461,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrX",5,4,0,400001,500000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6682461,6782461,5000,6687461,6777461,0,0,0.489890836454597,0.333333333333333
"chrX",6,6,5,500001,600000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6782461,6882461,5000,6787461,6877461,0.833333333333333,0.43649717781353,0.969946630251693,0.5
"chrX",7,3,2,600001,700000,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,100000,6882461,6982461,5000,6887461,6977461,0.666666666666667,0.207659600802048,0.938508055279604,0.25
"chrX",8,3,3,700001,745751,745751,50000,6282461,7028212,6655336.5,"X",83.8559197397378,1,45751,6982461,7028212,3660.08,6986121.08,7024551.92,1,0.438502968244955,1,0.25
"chrXI",1,7,5,1,100000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7078212,7178212,5000,7083212,7173212,0.714285714285714,0.358934451832619,0.917781075995943,0.583333333333333
"chrXI",2,4,1,100001,200000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7178212,7278212,5000,7183212,7273212,0.25,0.0455872608097006,0.699358157417598,0.333333333333333
"chrXI",3,5,4,200001,300000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7278212,7378212,5000,7283212,7373212,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrXI",4,3,2,300001,400000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7378212,7478212,5000,7383212,7473212,0.666666666666667,0.207659600802048,0.938508055279604,0.25
"chrXI",5,3,0,400001,500000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7478212,7578212,5000,7483212,7573212,0,0,0.561497031755045,0.25
"chrXI",6,7,2,500001,600000,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,100000,7578212,7678212,5000,7583212,7673212,0.285714285714286,0.0822189240040568,0.641065548167381,0.583333333333333
"chrXI",7,3,1,600001,666816,666816,50000,7078212,7745028,7411620,"XI",62.7033158821399,1,66816,7678212,7745028,5000,7683212,7740028,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrXII",1,2,2,1,100000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,7795028,7895028,5000,7800028,7890028,1,0.342380227506653,1,0.166666666666667
"chrXII",2,4,2,100001,200000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,7895028,7995028,5000,7900028,7990028,0.5,0.15003898915215,0.84996101084785,0.333333333333333
"chrXII",3,4,3,200001,300000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,7995028,8095028,5000,8000028,8090028,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrXII",4,5,2,300001,400000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8095028,8195028,5000,8100028,8190028,0.4,0.117620774232648,0.769275718723987,0.416666666666667
"chrXII",5,3,1,400001,500000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8195028,8295028,5000,8200028,8290028,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrXII",6,4,2,500001,600000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8295028,8395028,5000,8300028,8390028,0.5,0.15003898915215,0.84996101084785,0.333333333333333
"chrXII",7,10,6,600001,700000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8395028,8495028,5000,8400028,8490028,0.6,0.312673769733658,0.831819670293764,0.833333333333333
"chrXII",8,11,4,700001,800000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8495028,8595028,5000,8500028,8590028,0.363636363636364,0.151664710953676,0.646198825492151,0.916666666666667
"chrXII",9,8,3,800001,900000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8595028,8695028,5000,8600028,8690028,0.375,0.136844285823597,0.694257605397373,0.666666666666667
"chrXII",10,6,4,900001,1000000,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,100000,8695028,8795028,5000,8700028,8790028,0.666666666666667,0.299993315138392,0.90322858889422,0.5
"chrXII",11,4,4,1000001,1078177,1078177,50000,7795028,8873205,8334116.5,"XII",36.9018763101797,1,78177,8795028,8873205,5000,8800028,8868205,1,0.510109163545403,1,0.333333333333333
"chrXIII",1,7,4,1,100000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,8923205,9023205,5000,8928205,9018205,0.571428571428571,0.250458364527657,0.84178014474853,0.583333333333333
"chrXIII",2,10,7,100001,200000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9023205,9123205,5000,9028205,9118205,0.7,0.396778147461145,0.892208732593699,0.833333333333333
"chrXIII",3,2,1,200001,300000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9123205,9223205,5000,9128205,9218205,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXIII",4,6,3,300001,400000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9223205,9323205,5000,9228205,9318205,0.5,0.187616306482651,0.812383693517349,0.5
"chrXIII",5,4,3,400001,500000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9323205,9423205,5000,9328205,9418205,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrXIII",6,6,3,500001,600000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9423205,9523205,5000,9428205,9518205,0.5,0.187616306482651,0.812383693517349,0.5
"chrXIII",7,5,1,600001,700000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9523205,9623205,5000,9528205,9618205,0.2,0.0362241086324301,0.624465370237475,0.416666666666667
"chrXIII",8,1,1,700001,800000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9623205,9723205,5000,9628205,9718205,1,0.206549314377237,1,0.0833333333333333
"chrXIII",9,4,3,800001,900000,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,100000,9723205,9823205,5000,9728205,9818205,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrXIII",10,1,1,900001,924431,924431,50000,8923205,9847636,9385420.5,"XIII",7.49780092587196,1,24431,9823205,9847636,1954.48,9825159.48,9845681.52,1,0.206549314377237,1,0.0833333333333333
"chrXIV",1,2,1,1,100000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,9897636,9997636,5000,9902636,9992636,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXIV",2,3,1,100001,200000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,9997636,10097636,5000,10002636,10092636,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrXIV",3,3,1,200001,300000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,10097636,10197636,5000,10102636,10192636,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrXIV",4,3,2,300001,400000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,10197636,10297636,5000,10202636,10292636,0.666666666666667,0.207659600802048,0.938508055279604,0.25
"chrXIV",5,4,2,400001,500000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,10297636,10397636,5000,10302636,10392636,0.5,0.15003898915215,0.84996101084785,0.333333333333333
"chrXIV",6,10,3,500001,600000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,10397636,10497636,5000,10402636,10492636,0.3,0.107791267406301,0.603221852538855,0.833333333333333
"chrXIV",7,4,1,600001,700000,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,100000,10497636,10597636,5000,10502636,10592636,0.25,0.0455872608097006,0.699358157417598,0.333333333333333
"chrXIV",8,0,0,700001,784333,784333,50000,9897636,10681969,10289802.5,"XIV",-17.7969915453932,1,84333,10597636,10681969,5000,10602636,10676969,NA,NA,NA,0
"chrXV",1,7,6,1,100000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,10731969,10831969,5000,10736969,10826969,0.857142857142857,0.486872170725681,0.974320375655256,0.583333333333333
"chrXV",2,10,7,100001,200000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,10831969,10931969,5000,10836969,10926969,0.7,0.396778147461145,0.892208732593699,0.833333333333333
"chrXV",3,1,1,200001,300000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,10931969,11031969,5000,10936969,11026969,1,0.206549314377237,1,0.0833333333333333
"chrXV",4,8,6,300001,400000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11031969,11131969,5000,11036969,11126969,0.75,0.409275430310169,0.928520787247891,0.666666666666667
"chrXV",5,6,2,400001,500000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11131969,11231969,5000,11136969,11226969,0.333333333333333,0.0967714111057805,0.700006684861608,0.5
"chrXV",6,12,6,500001,600000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11231969,11331969,5000,11236969,11326969,0.5,0.253781597633706,0.746218402366294,1
"chrXV",7,3,1,600001,700000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11331969,11431969,5000,11336969,11426969,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrXV",8,2,2,700001,800000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11431969,11531969,5000,11436969,11526969,1,0.342380227506653,1,0.166666666666667
"chrXV",9,1,0,800001,900000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11531969,11631969,5000,11536969,11626969,0,0,0.793450685622763,0.0833333333333333
"chrXV",10,8,3,900001,1000000,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,100000,11631969,11731969,5000,11636969,11726969,0.375,0.136844285823597,0.694257605397373,0.666666666666667
"chrXV",11,2,0,1000001,1091291,1091291,50000,10731969,11823260,11277614.5,"XV",-45.4252498926684,1,91291,11731969,11823260,5000,11736969,11818260,0,0,0.657619772493347,0.166666666666667
"chrXVI",1,2,1,1,100000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,11873260,11973260,5000,11878260,11968260,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXVI",2,4,4,100001,200000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,11973260,12073260,5000,11978260,12068260,1,0.510109163545403,1,0.333333333333333
"chrXVI",3,2,1,200001,300000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12073260,12173260,5000,12078260,12168260,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXVI",4,1,1,300001,400000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12173260,12273260,5000,12178260,12268260,1,0.206549314377237,1,0.0833333333333333
"chrXVI",5,4,3,400001,500000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12273260,12373260,5000,12278260,12368260,0.75,0.300641842582402,0.9544127391903,0.333333333333333
"chrXVI",6,2,1,500001,600000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12373260,12473260,5000,12378260,12468260,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXVI",7,1,0,600001,700000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12473260,12573260,5000,12478260,12568260,0,0,0.793450685622763,0.0833333333333333
"chrXVI",8,2,1,700001,800000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12573260,12673260,5000,12578260,12668260,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrXVI",9,1,0,800001,900000,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,100000,12673260,12773260,5000,12678260,12768260,0,0,0.793450685622763,0.0833333333333333
"chrXVI",10,1,1,900001,948066,948066,50000,11873260,12821326,12347293,"XVI",-75.3432443557097,1,48066,12773260,12821326,3845.28,12777105.28,12817480.72,1,0.206549314377237,1,0.0833333333333333
